Song Title, Artist, Length, Album, Genre
Pound Cake / Paris Morton Music 2 (feat. JAY Z), Drake, 7:13, Nothing Was the Same, Hip-Hop/Rap
Forever, Drake, Kanye West, Lil Wayne & Eminem, 5:57, More Than a Game (Music Inspired By the Film), Soundtrack
Marvins Room, Drake, 5:47, Take Care (Deluxe Version), Hip-Hop/Rap
From Time (feat. Jhene Aiko), Drake, 5:22, Nothing Was the Same, Hip-Hop/Rap
Miss Me, Drake, 5:05, Thank Me Later, Hip-Hop/Rap
Passionfruit, Drake, 4:58, More Life, Hip-Hop/Rap
Faithful (feat. Pimp C & dvsn), Drake, 4:50, Views, Hip-Hop/Rap
Take Care (feat. Rihanna), Drake, 4:37, Take Care (Deluxe Version), Hip-Hop/Rap
Know Yourself, Drake, 4:35, If You're Reading This It's Too Late, Hip-Hop/Rap
0 To 100 / The Catch Up, Drake, 4:35, 0 To 100 / The Catch Up - Single, Hip-Hop/Rap
Right Above It (feat. Drake), Lil Wayne & Drake, 4:31, I Am Not a Human Being, Hip-Hop/Rap
All Me (feat. 2 Chainz & Big Sean), Drake, 4:31, Nothing Was the Same, Hip-Hop/Rap
Furthest Thing, Drake, 4:27, Nothing Was the Same, Hip-Hop/Rap
Hotline Bling, Drake, 4:27, Views, Hip-Hop/Rap
Doing It Wrong, Drake, 4:25, Take Care (Deluxe Version), Hip-Hop/Rap
Too Good (feat. Rihanna), Drake, 4:23, Views, Hip-Hop/Rap
Too Much, Drake, 4:21, Nothing Was the Same, Hip-Hop/Rap
Best I Ever Had, Drake, 4:17, So Far Gone, Hip-Hop/Rap
9, Drake, 4:15, Views, Hip-Hop/Rap
Weston Road Flows, Drake, 4:13, Views, Hip-Hop/Rap
Controlla, Drake, 4:05, Views, Hip-Hop/Rap
Legend, Drake, 4:01, If You're Reading This It's Too Late, Hip-Hop/Rap
Childs Play, Drake, 4:01, Views, Hip-Hop/Rap
Feel No Ways, Drake, 4:00, Views, Hip-Hop/Rap
Fire & Desire, Drake, 3:58, Views, Hip-Hop/Rap
Practice, Drake, 3:57, Take Care (Deluxe Version), Hip-Hop/Rap
Headlines, Drake, 3:55, Take Care (Deluxe Version), Hip-Hop/Rap
Over, Drake, 3:53, Thank Me Later, Hip-Hop/Rap
Hold On, We're Going Home (feat. Majid Jordan), Drake, 3:51, Nothing Was the Same, Hip-Hop/Rap
Shot for Me, Drake, 3:44, Take Care (Deluxe Version), Hip-Hop/Rap
The Language, Drake, 3:44, Nothing Was the Same, Hip-Hop/Rap
Grammys (feat. Future), Drake, 3:40, Views, Hip-Hop/Rap
Make Me Proud (feat. Nicki Minaj), Drake, 3:39, Take Care (Deluxe Version), Hip-Hop/Rap
Pop Style, Drake, 3:32, Views, Hip-Hop/Rap
Fake Love, Drake, 3:30, More Life, Hip-Hop/Rap
Nice For What, Drake, 3:30, Nice For What - Single, Hip-Hop/Rap
Hype, Drake, 3:29, Views, Hip-Hop/Rap
Find Your Love, Drake, 3:28, Thank Me Later, Hip-Hop/Rap
Crew Love (feat. The Weeknd), Drake, 3:28, Take Care (Deluxe Version), Hip-Hop/Rap
HYFR (Hell Ya Fucking Right) [feat. Lil Wayne], Drake, 3:26, Take Care (Deluxe Version), Hip-Hop/Rap
Jumpman, Drake & Future, 3:25, What a Time To Be Alive, Hip-Hop/Rap
God's Plan, Drake, 3:18, Scary Hours - Single, Hip-Hop/Rap
God's Plan, Drake, 3:18, Scary Hours - Single, Hip-Hop/Rap
With You (feat. PARTYNEXTDOOR), Drake, 3:15, Views, Hip-Hop/Rap
Still Here, Drake, 3:09, Views, Hip-Hop/Rap
Energy, Drake, 3:01, If You're Reading This It's Too Late, Hip-Hop/Rap
The Motto (feat. Lil Wayne) [Bonus Track], Drake, 3:01, Take Care (Deluxe Version), Hip-Hop/Rap
10 Bands, Drake, 2:57, If You're Reading This It's Too Late, Hip-Hop/Rap
One Dance (feat. Wizkid & Kyla), Drake, 2:53, Views, Hip-Hop/Rap
Started From the Bottom, Drake, 2:53, Nothing Was the Same, Hip-Hop/Rap
